day,hits,views,bandwidth
2022-08-27,2,2,1694
2022-09-05,2,2,2994
2022-09-09,2,2,2216
2022-09-11,2,2,1818
2022-09-23,3,3,2610
2022-09-24,2,2,1298
2022-09-26,2,2,1747
2022-09-28,2,2,1747
2022-09-30,2,2,2221
2022-10-02,2,2,2216
2022-10-04,3,2,2825
2022-10-05,2,2,1770
2022-10-09,3,3,2583
2022-10-14,3,3,3023
2022-10-22,3,2,2455
2022-10-23,2,1,1983
2022-10-25,4,2,3230
2022-10-29,4,4,4110
2022-10-30,4,4,5039
2022-11-07,2,2,1297
2022-11-14,3,3,2610
2022-11-15,6,6,6362
2022-11-18,2,2,1280
2022-11-26,2,2,1694
2022-11-28,2,2,1592
2022-12-05,2,2,2042
2022-12-08,2,1,1983
2022-12-09,3,2,2345
2022-12-10,1,1,0
2022-12-17,3,3,3099
2022-12-25,3,3,2610
2022-12-27,3,3,2625
2023-01-10,1,1,640
2023-01-17,5,5,5300
2023-02-01,2,2,1694
2023-02-05,3,3,3023
2023-02-07,2,2,2216
2023-02-13,3,3,2610
2023-02-16,1,1,707
2023-02-20,3,3,3099
2023-03-03,2,2,1181
2023-03-05,3,3,2625
2023-03-14,3,3,3145
2023-03-17,1,1,640
2023-03-18,5,5,4833
2023-03-23,2,2,1694
2023-03-28,6,5,6243
2023-03-31,1,1,929
2023-04-03,1,1,707
2023-04-18,2,2,2216
2023-04-19,3,3,3099
2023-04-20,3,3,2610
2023-04-21,4,4,3572
2023-05-12,4,4,4034
2023-05-16,3,3,3188
2023-05-26,4,4,3222
2023-06-02,2,2,1297
2023-06-07,2,2,2216
2023-06-08,2,2,1297
2023-06-10,2,2,1694
2023-06-12,2,2,1297
2023-06-23,3,3,3023
2023-06-26,3,3,3539
2023-06-29,1,1,889
2023-06-30,4,4,3513
