day,hits,views,bandwidth
2021-09-20,27,25,3568512
2021-09-21,430,425,81238343
2021-09-22,38,36,484046
2021-09-23,80,77,7718842
2021-09-24,290,290,56643501
2021-09-25,86,83,5275719
2021-09-26,406,396,63260112
2021-09-27,59,56,4026846
2021-09-28,413,409,72297759
2021-09-29,68,63,47775054
2021-09-30,847,841,63184428
2021-10-01,202,199,34591796
2021-10-02,505,497,91668743
2021-10-03,325,323,51189511
2021-10-04,659,653,113361895
2021-10-05,504,502,97076181
2021-10-06,564,564,105353520
2021-10-07,597,575,98124051
2021-10-08,73,67,43014364
2021-10-09,140,124,20124849
2021-10-10,118,113,13867776
2021-10-11,110,106,5271399
2021-10-12,79,79,4157138
2021-10-13,192,190,12038555
2021-10-14,67,64,7414358
2021-10-15,73,72,9224931
2021-10-16,164,162,25585567
2021-10-17,77,74,6054517
2021-10-18,36,35,1969817
2021-10-19,91,88,7527436
2021-10-20,94,90,16418971
2021-10-21,173,172,21874928
2021-10-22,209,204,26664776
2021-10-23,696,686,52218433
2021-10-24,216,210,63974062
2021-10-25,131,127,18616767
2021-10-26,107,106,16714594
2021-10-27,119,113,14058285
2021-10-28,114,107,11102009
2021-10-29,79,77,6617561
2021-10-30,80,78,45027959
2021-10-31,94,90,9730798
2021-11-01,83,79,47648268
2021-11-02,94,76,7789313
2021-11-03,95,94,13582821
2021-11-04,91,84,13476587
2021-11-05,124,123,9698146
2021-11-06,151,148,57424799
2021-11-07,102,101,48550549
2021-11-08,144,140,9730706
2021-11-09,138,136,12113905
2021-11-10,80,76,6186552
2021-11-11,35,34,3522512
2021-11-12,192,182,2674080
2021-11-13,177,172,40166156
2021-11-14,95,75,8119881
2021-11-15,156,151,25991538
2021-11-16,659,625,31770391
2021-11-17,74,74,5869424
2021-11-18,122,113,4120202
2021-11-19,158,147,14473606
2021-11-20,87,65,3887014
2021-11-21,106,99,4286333
2021-11-22,92,92,6425804
2021-11-23,49,44,8488641
2021-11-24,121,117,72886760
2021-11-25,110,87,15360853
2021-11-26,98,97,9377106
2021-11-27,90,69,9509398
2021-11-28,59,49,2545691
2021-11-29,99,78,4089528
2021-11-30,115,114,4120281
2021-12-01,141,112,5259487
2021-12-02,111,108,11493477
2021-12-03,142,120,44622311
2021-12-04,86,82,3597497
2021-12-05,88,66,4329100
2021-12-06,79,72,11931390
2021-12-07,67,47,1479127
2021-12-08,47,46,5042684
2021-12-09,108,82,6612779
2021-12-10,117,112,5711007
2021-12-11,558,549,24873693
2021-12-12,110,105,5468294
2021-12-13,71,50,2280505
2021-12-14,94,91,6171141
2021-12-15,75,69,81590952
2021-12-16,446,428,88040149
2021-12-17,72,69,3096323
2021-12-18,53,48,8369332
2021-12-19,133,128,12658673
2021-12-20,91,87,6593518
2021-12-21,55,51,7992195
2021-12-22,59,55,6098128
2021-12-23,88,87,9133836
2021-12-24,104,99,11187281
2021-12-25,110,85,4912636
2021-12-26,58,56,5044282
2021-12-27,67,63,23952977
2021-12-28,114,103,5493930
2021-12-29,58,53,5757303
2021-12-30,112,106,9752139
2021-12-31,63,60,3057133
2022-01-01,56,53,4640201
2022-01-02,26,25,2746070
2022-01-03,140,137,7218075
2022-01-04,518,510,18111759
2022-01-05,149,143,9103240
2022-01-06,102,81,4678130
2022-01-07,71,69,5378178
2022-01-08,103,102,6156315
2022-01-09,95,86,9433412
2022-01-10,107,83,8110290
2022-01-11,87,83,12534527
2022-01-12,82,76,14361786
2022-01-13,93,87,12714216
2022-01-14,72,69,4354733
2022-01-15,78,71,18042542
2022-01-16,93,91,30602060
2022-01-17,78,75,9472537
2022-01-18,127,90,16876975
2022-01-19,131,120,12997165
2022-01-20,74,69,81332126
2022-01-21,60,48,3420479
2022-01-22,155,132,12354039
2022-01-23,40,36,3280450
2022-01-24,53,51,1940942
2022-01-25,43,41,7636814
2022-01-26,66,52,3263060
2022-01-27,30,29,2500356
2022-01-28,76,64,8950018
2022-01-29,82,78,17407054
2022-01-30,103,98,16150522
2022-01-31,74,68,11384028
2022-02-01,47,44,1978411
2022-02-02,81,78,3567431
2022-02-03,163,160,17815199
2022-02-04,912,874,227966840
2022-02-05,47,45,1526864
2022-02-06,79,69,1868729
2022-02-07,173,170,35389880
2022-02-08,95,80,6030301
2022-02-09,55,52,1888372
2022-02-10,43,42,1477780
