day,hits,views,bandwidth
2022-06-19,2,2,1782
2022-06-21,6,3,704120
2022-06-23,36,15,5178660
2022-06-25,2,2,2174
2022-06-26,8,4,705853
2022-06-28,2,2,1942
2022-07-03,1,1,1467
2022-07-05,3,3,3260
2022-07-07,2,1,2945
2022-07-09,1,1,855
2022-07-12,4,4,4018
2022-07-13,13,4,4385628
2022-07-17,8,8,12996
2022-07-18,1,1,1082
2022-07-20,2,2,2173
2022-07-21,2,2,2066
2022-07-26,1,1,1087
2022-07-27,2,2,2940
2022-07-28,7,5,704368
2022-07-29,1,1,758
2022-08-01,4,4,4264
2022-08-04,5,5,5544
2022-08-05,1,1,1123
2022-08-06,2,2,1779
2022-08-07,3,3,6306
2022-08-09,1,1,734
2022-08-10,1,1,709
2022-08-11,14,7,4386621
2022-08-13,7,6,6829
2022-08-15,6,6,5737
2022-08-18,1,1,854
2022-08-21,2,2,2173
2022-08-24,2,2,1796
2022-08-25,8,8,12996
2022-08-27,8,8,8952
2022-08-28,1,1,1087
2022-08-30,1,1,758
2022-09-01,1,1,1087
2022-09-02,2,2,1796
2022-09-03,1,1,1082
2022-09-05,1,1,1082
2022-09-07,6,2,703999
2022-09-09,2,2,2071
2022-09-11,6,6,6779
2022-09-14,4,4,4169
2022-09-17,1,1,758
2022-09-19,3,3,3158
2022-09-20,1,1,854
2022-09-22,1,1,1087
2022-09-23,2,2,1884
2022-09-25,2,2,2174
2022-09-29,3,3,2825
2022-09-30,2,2,2181
2022-10-01,1,1,1082
2022-10-02,4,4,3911
2022-10-05,3,3,3640
2022-10-10,1,1,984
2022-10-11,1,1,992
2022-10-12,1,1,1087
2022-10-13,2,2,1852
2022-10-14,7,4,705154
2022-10-15,1,1,734
2022-10-16,2,2,2090
2022-10-18,2,2,2181
2022-10-19,2,2,2181
2022-10-20,1,1,984
2022-10-24,1,1,989
2022-10-25,3,3,3163
2022-10-26,3,3,2721
2022-10-30,2,2,2174
2022-11-01,2,2,2174
2022-11-02,1,1,984
2022-11-03,1,1,758
2022-11-04,1,1,1082
2022-11-05,1,1,1087
2022-11-07,2,2,2193
2022-11-08,1,1,4133
2022-11-09,1,1,1582
2022-11-10,2,2,2174
2022-11-11,1,1,1349
2022-11-13,3,3,2825
2022-11-14,1,1,1349
2022-11-15,11,9,709049
2022-11-17,10,6,708409
2022-11-22,1,1,757
2022-11-23,1,1,984
2022-11-25,2,2,2174
2022-11-26,1,1,0
2022-11-27,1,1,709
2022-11-28,1,1,854
2022-11-30,1,1,709
2022-12-02,3,3,2971
2022-12-05,2,2,1698
2022-12-06,1,1,2595
2022-12-07,3,3,2954
2022-12-08,2,2,2173
2022-12-09,3,3,2783
