day,hits,views,bandwidth
2021-06-19,1,1,1638
2021-06-20,3,3,3660
2021-06-22,1,1,3990
2021-06-23,1,1,3995
2021-06-24,7,7,31392
2021-06-25,1,1,4002
2021-06-26,1,1,1683
2021-06-27,5,5,21995
2021-06-28,2,2,42704
2021-06-30,1,1,3995
2021-07-01,2,2,5788
2021-07-02,2,2,14907
2021-07-04,4,4,11089
2021-07-05,2,2,5865
2021-07-08,1,1,1454
2021-07-09,2,2,7985
2021-07-10,1,1,385
2021-07-13,3,3,5193
2021-07-15,1,1,3997
2021-07-17,1,1,1361
2021-07-18,1,1,3997
2021-07-20,1,1,1631
2021-07-21,1,1,1061
2021-07-23,2,2,4704
2021-07-25,1,1,1683
2021-07-26,2,2,3311
2021-07-27,1,1,385
2021-07-28,2,2,2243
2021-07-31,1,1,1870
2021-08-02,1,1,1452
2021-08-07,2,2,3263
2021-08-09,1,1,1453
2021-08-11,1,1,1863
2021-08-13,2,2,3501
2021-08-16,1,1,384
2021-08-18,1,1,1683
2021-08-20,1,1,1453
2021-08-23,1,1,1863
2021-08-25,1,1,1454
2021-08-27,7,5,4757
2021-08-28,8,8,32671
2021-09-01,1,1,3981
2021-09-06,1,1,1858
2021-09-12,1,1,707
2021-09-13,1,1,1453
2021-09-16,2,2,3084
2021-09-17,1,1,1637
2021-09-18,1,1,426
2021-09-20,2,2,3268
2021-09-22,8,8,58045
2021-09-23,2,2,8030
2021-09-24,1,1,4002
2021-09-25,1,1,19185
2021-09-26,2,2,2927
2021-09-29,6,6,8235
2021-09-30,2,2,5872
2021-10-01,1,1,4002
2021-10-02,1,1,639
2021-10-03,1,1,1452
2021-10-06,2,2,2021
2021-10-07,3,3,22781
2021-10-11,4,4,8520
2021-10-14,4,4,5469
2021-10-16,1,1,3990
2021-10-21,2,2,3085
2021-10-26,2,2,7571
2021-10-28,1,1,1632
2021-10-29,2,2,6688
2021-10-30,9,9,38078
2021-10-31,1,1,707
2021-11-01,3,3,12474
2021-11-04,1,1,1452
2021-11-05,1,1,1366
2021-11-06,2,2,20638
2021-11-07,1,1,3467
2021-11-08,9,9,146870
2021-11-09,13,12,143202
2021-11-10,7,7,31709
2021-11-11,1,1,3980
2021-11-12,1,1,1454
2021-11-13,2,2,3322
2021-11-14,2,2,3489
2021-11-15,1,1,6166
2021-11-17,1,1,3990
2021-11-19,1,1,19185
2021-11-24,1,1,14452
2021-11-25,2,2,3495
2021-11-26,1,1,1453
2021-11-29,2,2,6160
2021-11-30,11,11,62616
